,Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors
0,Acura,CL,CL II,3.2 i V6 24V Type S (263 Hp) Automatic ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,5 ,2 
1,Acura,CL,CL II,3.2 i V6 24V Type S (263 Hp) ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,5 ,2 
2,Acura,CL,CL II,3.2 i V6 24V (228 Hp) Automatic ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,4 ,2 
3,Acura,CL,CL II,3.2 i V6 24V Type S (263 Hp) Automatic ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,5 ,2 
4,Acura,CL,CL II,3.2 i V6 24V Type S (263 Hp) ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,5 ,2 
5,Acura,CL,CL II,3.2 i V6 24V (228 Hp) Automatic ,2000 year ,2003 year ,Internal Combustion engine ,Coupe ,4 ,2 
6,Acura,CL,CL,3.0 i V6 24V (203 Hp) ,1996 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
7,Acura,CL,CL,2.3 i 16V (152 Hp) Automatic ,1997 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
8,Acura,CL,CL,2.3 i 16V (152 Hp) ,1997 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
9,Acura,CL,CL,3.0 i V6 24V (203 Hp) ,1996 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
10,Acura,CL,CL,2.3 i 16V (152 Hp) Automatic ,1997 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
11,Acura,CL,CL,2.3 i 16V (152 Hp) ,1997 year ,1999 year ,Internal Combustion engine ,Coupe ,5 ,2 
12,Acura,CSX,"CSX (facelift, 2009)",2.0 i 16V (157 Hp) Automatic ,2009 year ,2011 year ,Internal Combustion engine ,Sedan ,5 ,4 
13,Acura,CSX,"CSX (facelift, 2009)",2.0 i 16V (157 Hp) ,2009 year ,2011 year ,Internal Combustion engine ,Sedan ,5 ,4 
14,Acura,CSX,"CSX (facelift, 2009)",2.0 i 16V (157 Hp) Automatic ,2009 year ,2011 year ,Internal Combustion engine ,Sedan ,5 ,4 
15,Acura,CSX,"CSX (facelift, 2009)",2.0 i 16V (157 Hp) ,2009 year ,2011 year ,Internal Combustion engine ,Sedan ,5 ,4 
16,Acura,CSX,CSX,2.0 i 16V (157 Hp) ,2005 year ,2008 year ,Internal Combustion engine ,Sedan ,5 ,4 
